#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2016 01 03 02 30 105 13.7 999 99.0 9999
2016 01 03 02 40 107 14.1 999 99.0 9999
2016 01 03 02 50 105 13.2  98 18.7 0209
2016 01 03 03 00 104 13.1 999 99.0 9999
2016 01 03 03 10 105 13.2 999 99.0 9999
2016 01 03 03 20 105 12.7 999 99.0 9999
2016 01 03 03 30 106 13.1 999 99.0 9999
2016 01 03 03 40 106 13.0 999 99.0 9999
2016 01 03 03 50 106 13.3 116 17.1 0342
2016 01 03 04 00 106 13.5 999 99.0 9999
2016 01 03 04 10 105 13.5 999 99.0 9999
2016 01 03 04 20 105 13.4 999 99.0 9999
2016 01 03 04 30 106 13.1 999 99.0 9999
2016 01 03 04 40 105 12.7 999 99.0 9999
2016 01 03 04 50 108 12.8 103 17.0 0402
2016 01 03 05 00 109 12.5 999 99.0 9999
2016 01 03 05 10 111 12.8 999 99.0 9999
2016 01 03 05 20 111 13.0 999 99.0 9999
2016 01 03 05 30 113 12.8 999 99.0 9999
2016 01 03 05 40 114 13.0 999 99.0 9999
2016 01 03 05 50 116 12.8 123 16.7 0546
2016 01 03 06 00 117 13.0 999 99.0 9999
2016 01 03 06 10 118 13.0 999 99.0 9999
2016 01 03 06 20 122 13.4 999 99.0 9999
2016 01 03 06 30 119 12.1 999 99.0 9999
2016 01 03 06 40 118 12.5 999 99.0 9999
2016 01 03 06 50 120 13.0 116 18.1 0612
2016 01 03 07 00 121 13.1 999 99.0 9999
2016 01 03 07 10 124 13.2 999 99.0 9999
2016 01 03 07 20 123 12.6 999 99.0 9999
2016 01 03 07 30 123 12.9 999 99.0 9999
2016 01 03 07 40 122 12.8 999 99.0 9999
2016 01 03 07 50 122 12.3 119 17.2 0713
2016 01 03 08 00 120 11.9 999 99.0 9999
2016 01 03 08 10 123 12.4 999 99.0 9999
2016 01 03 08 20 120 12.7 999 99.0 9999
2016 01 03 08 30 118 12.4 999 99.0 9999
2016 01 03 08 40 114 12.5 999 99.0 9999
2016 01 03 08 50 110 11.7  99 16.2 0811
2016 01 03 09 00 111 12.4 999 99.0 9999
2016 01 03 09 10 108 11.8 999 99.0 9999
2016 01 03 09 20 111 12.2 999 99.0 9999
2016 01 03 09 30 109 12.3 999 99.0 9999
2016 01 03 09 40 110 12.8 999 99.0 9999
2016 01 03 09 50 106 12.8 114 16.6 0934
2016 01 03 10 00 105 12.6 999 99.0 9999
2016 01 03 10 10 103 12.5 999 99.0 9999
2016 01 03 10 20 103 12.4 999 99.0 9999
2016 01 03 10 30 102 12.6 999 99.0 9999
2016 01 03 10 40 101 12.5 999 99.0 9999
2016 01 03 10 50  99 12.9 101 16.9 1036
2016 01 03 11 00  99 12.4 999 99.0 9999
2016 01 03 11 10 101 13.4 999 99.0 9999
2016 01 03 11 20 104 12.8 999 99.0 9999
2016 01 03 11 30 101 12.5 999 99.0 9999
2016 01 03 11 40  97 12.6 999 99.0 9999
2016 01 03 11 50  93 13.2 103 16.9 1106
2016 01 03 12 00  92 13.1 999 99.0 9999
2016 01 03 12 10  92 12.8 999 99.0 9999
2016 01 03 12 20  91 12.6 999 99.0 9999
2016 01 03 12 30  94 12.1 999 99.0 9999
2016 01 03 12 40  92 11.3 999 99.0 9999
2016 01 03 12 50  92 12.3  93 16.3 1201
2016 01 03 13 00  93 12.0 999 99.0 9999
2016 01 03 13 10  93 12.1 999 99.0 9999
2016 01 03 13 20  93 12.2 999 99.0 9999
2016 01 03 13 30  91 12.2 999 99.0 9999
2016 01 03 13 40  92 11.9 999 99.0 9999
2016 01 03 13 50  90 11.2  83 15.7 1306
2016 01 03 14 00  91 11.9 999 99.0 9999
2016 01 03 14 10  89 11.9 999 99.0 9999
2016 01 03 14 20  92 12.3 999 99.0 9999
2016 01 03 14 30  90 12.6 999 99.0 9999
2016 01 03 14 40  89 11.9 999 99.0 9999
2016 01 03 14 50  83 11.6  92 15.3 1411
2016 01 03 15 00  82 11.4 999 99.0 9999
2016 01 03 15 10  83 11.3 999 99.0 9999
2016 01 03 15 20  84 11.5 999 99.0 9999
2016 01 03 15 30  86 11.1 999 99.0 9999
2016 01 03 15 40  85 11.9 999 99.0 9999
2016 01 03 15 50  84 11.9  78 15.2 1530
2016 01 03 16 00  82 11.0 999 99.0 9999
2016 01 03 16 10  85 11.3 999 99.0 9999
2016 01 03 16 20  85 10.9 999 99.0 9999
2016 01 03 16 30  86 10.7 999 99.0 9999
2016 01 03 16 40  86 10.6 999 99.0 9999
2016 01 03 16 50  84 10.3  88 14.7 1649
2016 01 03 17 00  83  9.7 999 99.0 9999
2016 01 03 17 10  86  9.8 999 99.0 9999
2016 01 03 17 20  87 10.0 999 99.0 9999
2016 01 03 17 30  85  9.6 999 99.0 9999
2016 01 03 17 40  88  9.3 999 99.0 9999
2016 01 03 17 50  88  9.8  83 12.6 1653
2016 01 03 18 00  91  8.8 999 99.0 9999
2016 01 03 18 10  91  9.1 999 99.0 9999
2016 01 03 18 20  89  9.2 999 99.0 9999
2016 01 03 18 30  90  8.9 999 99.0 9999
2016 01 03 18 40  92  8.5 999 99.0 9999
2016 01 03 18 50  97  8.4  82 11.9 1807
2016 01 03 19 00  98  8.1 999 99.0 9999
2016 01 03 19 10 106  8.0 999 99.0 9999
2016 01 03 19 20 115  7.9 999 99.0 9999
2016 01 03 19 30 119  7.6 999 99.0 9999
2016 01 03 19 40 115  7.0 999 99.0 9999
2016 01 03 19 50 115  6.7  90 10.2 1856
2016 01 03 20 00 118  6.5 999 99.0 9999
2016 01 03 20 10 121  6.1 999 99.0 9999
2016 01 03 20 20 135  5.5 999 99.0 9999
2016 01 03 20 30 151  5.1 999 99.0 9999
2016 01 03 20 40 166  5.4 999 99.0 9999
2016 01 03 20 50 202  5.4 113  8.7 2049
2016 01 03 21 00 208  5.1 999 99.0 9999
2016 01 03 21 10 201  5.0 999 99.0 9999
2016 01 03 21 20 202  5.0 999 99.0 9999
2016 01 03 21 30 199  4.6 999 99.0 9999
2016 01 03 21 40 192  4.4 999 99.0 9999
2016 01 03 21 50 196  4.4 191  6.3 2101
2016 01 03 22 00 192  4.3 999 99.0 9999
2016 01 03 22 10 192  3.9 999 99.0 9999
2016 01 03 22 20 190  3.9 999 99.0 9999
2016 01 03 22 30 190  3.6 999 99.0 9999
2016 01 03 22 40 188  3.9 999 99.0 9999
2016 01 03 22 50 192  3.8 191  5.7 2150
2016 01 03 23 00 189  3.5 999 99.0 9999
2016 01 03 23 10 188  3.4 999 99.0 9999
2016 01 03 23 20 187  3.7 999 99.0 9999
2016 01 03 23 30 185  3.9 999 99.0 9999
2016 01 03 23 40 185  3.6 999 99.0 9999
2016 01 03 23 50 186  3.7 182  5.2 2348
2016 01 04 00 00 180  3.7 999 99.0 9999
2016 01 04 00 10 177  3.4 999 99.0 9999
2016 01 04 00 20 175  3.0 999 99.0 9999
2016 01 04 00 30 173  3.0 999 99.0 9999
2016 01 04 00 40 168  2.9 999 99.0 9999
2016 01 04 00 50 167  2.9 182  4.9 2353
2016 01 04 01 00 161  3.3 999 99.0 9999
2016 01 04 01 10 159  3.2 999 99.0 9999
2016 01 04 01 20 154  3.1 999 99.0 9999
2016 01 04 01 30 153  3.6 999 99.0 9999
2016 01 04 01 40 158  3.7 999 99.0 9999
2016 01 04 01 50 162  3.9 162  5.3 0146
2016 01 04 02 00 158  3.8 999 99.0 9999
2016 01 04 02 10 156  3.8 999 99.0 9999
2016 01 04 02 20 149  3.6 999 99.0 9999
2016 01 04 02 30 145  3.5 999 99.0 9999
2016 01 04 02 40 141  3.7 999 99.0 9999
2016 01 04 02 50 143  3.6 140  5.2 0242
2016 01 04 03 00 146  3.6 999 99.0 9999
2016 01 04 03 10 148  3.4 999 99.0 9999
2016 01 04 03 20 141  3.2 999 99.0 9999
2016 01 04 03 30 137  3.1 999 99.0 9999
2016 01 04 03 40 131  3.4 999 99.0 9999
2016 01 04 03 50 140  3.5 135  5.0 0341
2016 01 04 04 00 146  4.0 999 99.0 9999
2016 01 04 04 10 146  4.0 999 99.0 9999
2016 01 04 04 20 145  4.0 999 99.0 9999
2016 01 04 04 30 142  4.1 999 99.0 9999
2016 01 04 04 40 143  4.0 999 99.0 9999
2016 01 04 04 50 143  4.1 138  5.8 0424
2016 01 04 05 00 142  4.2 999 99.0 9999
2016 01 04 05 10 138  4.4 999 99.0 9999
