#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 04 01 22 50  10  2.0   MM    MM    MM    MM  MM 1012.1  10.7  11.1    MM   MM   MM    MM
2019 04 01 22 40  20  2.0   MM    MM    MM    MM  MM 1012.1  10.6  11.1    MM   MM   MM    MM
2019 04 01 22 30  20  2.0   MM    MM    MM    MM  MM 1012.3  10.6  11.2    MM   MM   MM    MM
2019 04 01 22 20  30  2.0   MM   1.6    MM    MM 280 1012.3  10.6  11.2    MM   MM   MM    MM
2019 04 01 22 10  30  2.0   MM   1.6    17    MM  MM 1012.6  10.6  11.2    MM   MM   MM    MM
2019 04 01 22 00  40  3.0   MM    MM    MM    MM  MM 1012.6  10.7  11.2    MM   MM   MM    MM
2019 04 01 21 50  40  3.0   MM    MM    MM    MM  MM 1012.6  10.8  11.2    MM   MM   MM    MM
2019 04 01 21 40  50  3.0   MM    MM    MM    MM  MM 1012.7  10.7  11.2    MM   MM   MM    MM
2019 04 01 21 30  50  3.0   MM    MM    MM    MM  MM 1012.8  10.7  11.2    MM   MM   MM    MM
2019 04 01 21 20  40  3.0   MM   1.8    MM    MM 283 1012.9  10.6  11.2    MM   MM   MM    MM
2019 04 01 21 10  50  3.0   MM   1.8    18    MM  MM 1013.1  10.5  11.2    MM   MM   MM    MM
2019 04 01 21 00  50  3.0   MM    MM    MM    MM  MM 1013.2  10.3  11.2    MM   MM -1.8    MM
2019 04 01 20 50  50  3.0   MM    MM    MM    MM  MM 1013.3  10.3  11.2    MM   MM   MM    MM
2019 04 01 20 40  40  3.0   MM    MM    MM    MM  MM 1013.4  10.3  11.2    MM   MM   MM    MM
2019 04 01 20 30  50  3.0   MM    MM    MM    MM  MM 1013.5  10.3  11.1    MM   MM   MM    MM
2019 04 01 20 20  50  3.0   MM   1.6    MM    MM 279 1013.6  10.3  11.1    MM   MM   MM    MM
2019 04 01 20 10  60  2.0   MM   1.6    18    MM  MM 1013.7  10.3  11.1    MM   MM   MM    MM
2019 04 01 20 00  60  2.0   MM    MM    MM    MM  MM 1014.0  10.2  11.1    MM   MM   MM    MM
2019 04 01 19 50  60  2.0   MM    MM    MM    MM  MM 1014.0  10.2  11.1    MM   MM   MM    MM
2019 04 01 19 40  60  2.0   MM    MM    MM    MM  MM 1014.2  10.2  11.1    MM   MM   MM    MM
2019 04 01 19 30  70  3.0   MM    MM    MM    MM  MM 1014.1  10.1  11.1    MM   MM   MM    MM
2019 04 01 19 20  70  2.0   MM   1.7    MM    MM 284 1014.3  10.1  11.1    MM   MM   MM    MM
2019 04 01 19 10  80  2.0   MM   1.7    18    MM  MM 1014.3  10.0  11.1    MM   MM   MM    MM
2019 04 01 19 00  90  3.0   MM    MM    MM    MM  MM 1014.4  10.0  11.1    MM   MM -0.9    MM
2019 04 01 18 50  80  3.0   MM    MM    MM    MM  MM 1014.5  10.0  11.1    MM   MM   MM    MM
2019 04 01 18 40  90  3.0   MM    MM    MM    MM  MM 1014.6  10.0  11.1    MM   MM   MM    MM
2019 04 01 18 30  80  3.0   MM    MM    MM    MM  MM 1014.7  10.0  11.1    MM   MM   MM    MM
2019 04 01 18 20  80  2.0   MM   1.8    MM    MM 287 1014.8   9.9  11.1    MM   MM   MM    MM
2019 04 01 18 10  80  3.0   MM   1.8    18    MM  MM 1014.9   9.9  11.1    MM   MM   MM    MM
2019 04 01 18 00  90  2.0   MM    MM    MM    MM  MM 1015.0  10.0  11.1    MM   MM   MM    MM
2019 04 01 17 50 100  2.0   MM    MM    MM    MM  MM 1015.0  10.1  11.1    MM   MM   MM    MM
2019 04 01 17 40 120  2.0   MM    MM    MM    MM  MM 1015.1  10.0  11.1    MM   MM   MM    MM
2019 04 01 17 30 120  2.0   MM    MM    MM    MM  MM 1015.1  10.0  11.1    MM   MM   MM    MM
2019 04 01 17 20 140  2.0   MM   2.0    MM    MM 287 1015.2  10.0  11.0    MM   MM   MM    MM
2019 04 01 17 10 140  1.0   MM   2.0    17    MM  MM 1015.2  10.0  11.0    MM   MM   MM    MM
