Hm0_contour,Te_contour
10.56132018636739,12.526404331672545
10.50496787644705,12.454633669397621
10.448379715638907,12.383104641128757
10.391568364707105,12.311819779314927
10.33454635476695,12.240781579732891
10.27732608452435,12.169992501630423
10.219919817644596,12.099454967849532
10.162339680212988,12.029171364948535
10.10459765831607,11.959144043309973
10.04670559572008,11.889375317243415
9.988675191690206,11.819867465069231
9.930517998869288,11.750622729209136
9.872245421306332,11.681643316254222
9.813868712583904,11.612931397031158
9.755398974046201,11.544489106656421
9.696847153111069,11.476318544595726
9.638224041739043,11.408421774696937
9.5795402749662,11.340800825229918
9.52080632955654,11.273457688914617
9.462032522731631,11.206394322951029
9.403229011064283,11.139612649023922
9.344405789390446,11.073114553327759
9.285572689883532,11.006901886566899
9.226739381176452,10.940976463966953
9.167915367652043,10.875340065259502
