#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 08 01 15 40 198  2.3 99.0 99.00 99.00 99.00 999 1016.7  14.2  13.1 999.0 99.0 99.00
2019 08 01 15 50 189  2.4 99.0 99.00 99.00 99.00 999 1016.7  14.3  13.2 999.0 99.0 99.00
2019 08 01 16 00 179  2.5 99.0 99.00 99.00 99.00 999 1016.7  14.2  13.1 999.0 99.0 99.00
2019 08 01 16 10 177  2.3 99.0  0.80  7.40 99.00 282 1016.7  14.3  13.2 999.0 99.0 99.00
2019 08 01 16 20 165  2.5 99.0 99.00 99.00 99.00 999 1016.7  14.5  13.4 999.0 99.0 99.00
2019 08 01 16 30 165  2.6 99.0 99.00 99.00 99.00 999 1016.7  14.7  13.4 999.0 99.0 99.00
2019 08 01 16 40 170  2.6 99.0 99.00 99.00 99.00 999 1016.7  14.8  13.4 999.0 99.0 99.00
2019 08 01 16 50 173  2.6 99.0 99.00 99.00 99.00 999 1016.7  14.8  13.5 999.0 99.0 99.00
2019 08 01 17 00 178  2.7 99.0 99.00 99.00 99.00 999 1016.6  14.8  13.6 999.0 99.0 99.00
2019 08 01 17 10 195  2.6 99.0  0.77  7.70 99.00 290 1016.7  14.8  13.8 999.0 99.0 99.00
2019 08 01 17 20 196  2.7 99.0 99.00 99.00 99.00 999 1016.7  14.8  13.8 999.0 99.0 99.00
2019 08 01 17 30 190  2.3 99.0 99.00 99.00 99.00 999 1016.8  14.9  13.9 999.0 99.0 99.00
2019 08 01 17 40 186  2.1 99.0 99.00 99.00 99.00 999 1016.7  14.9  14.1 999.0 99.0 99.00
2019 08 01 17 50 183  2.3 99.0 99.00 99.00 99.00 999 1016.8  14.9  14.3 999.0 99.0 99.00
