Time_UTC,MODAQ_Va_V,MODAQ_Vb_V,MODAQ_Vc_V,MODAQ_Ia_I,MODAQ_Ib_I,MODAQ_Ic_I
2020-02-24 18:15:21.603198544,7828.332244873047,3184.2901306152344,-11137.033386230469,-16.403961181640625,-8.570556640625,24.8779296875
2020-02-24 18:15:21.603218544,7759.956573486328,3259.7467651367188,-11168.791137695312,-16.282196044921875,-8.84490966796875,24.916229248046875
2020-02-24 18:15:21.603238545,7689.929840087891,3335.893280029297,-11198.010284423828,-16.111907958984375,-9.017333984375,24.905548095703125
2020-02-24 18:15:21.603258546,7620.7596435546875,3412.035919189453,-11224.074584960938,-15.937042236328125,-9.156646728515625,24.912261962890625
2020-02-24 18:15:21.603278546,7553.236633300781,3483.543182373047,-11243.786560058594,-15.82916259765625,-9.337921142578125,25.009613037109375
2020-02-24 18:15:21.603298546,7483.768005371094,3556.5697326660156,-11259.215850830078,-15.67047119140625,-9.561920166015625,24.98199462890625
2020-02-24 18:15:21.603318547,7418.268127441406,3625.0112915039062,-11270.02914428711,-15.471038818359375,-9.74517822265625,25.07568359375
2020-02-24 18:15:21.603338548,7354.101501464844,3691.9296875,-11276.993835449219,-15.368804931640625,-9.880828857421875,25.139312744140625
2020-02-24 18:15:21.603358548,7288.977569580078,3762.030059814453,-11282.299713134766,-15.181121826171875,-10.119476318359375,25.113983154296875
2020-02-24 18:15:21.603378548,7226.132568359375,3831.7041015625,-11287.16763305664,-15.040130615234375,-10.30242919921875,25.21759033203125
2020-02-24 18:15:21.603398549,7158.876983642578,3907.610321044922,-11292.237091064453,-14.875640869140625,-10.493621826171875,25.229034423828125
2020-02-24 18:15:21.603418550,7089.993591308594,3986.768280029297,-11296.884094238281,-14.690093994140625,-10.658721923828125,25.22705078125
2020-02-24 18:15:21.603438550,7023.1837158203125,4066.8331604003906,-11302.767456054688,-14.504852294921875,-10.890350341796875,25.25604248046875
2020-02-24 18:15:21.603458550,6953.308135986328,4150.514099121094,-11308.418273925781,-14.308624267578125,-11.069488525390625,25.2862548828125
