Time_UTC,MODAQ_Va_V,MODAQ_Vb_V,MODAQ_Vc_V,MODAQ_Ia_I,MODAQ_Ib_I,MODAQ_Ic_I
15:21.5,10427.32089,-1200.508118,-9156.46048,-22.64312744,2.371063232,20.15625
15:21.5,10392.23389,-1133.733124,-9207.395355,-22.5239563,2.059936523,20.28320313
15:21.5,10349.9884,-1058.9935,-9258.516266,-22.34848022,1.801300049,20.37216187
15:21.5,10307.01816,-979.7076416,-9314.3927,-22.23648071,1.579284668,20.45501709
15:21.5,10262.73792,-892.6819458,-9375.137054,-22.12341309,1.403808594,20.5329895
15:21.5,10218.36078,-796.8544617,-9442.861603,-22.01843262,1.160125732,20.63598633
15:21.5,10176.60364,-694.8529358,-9516.058685,-21.90643311,0.943603516,20.7434082
15:21.5,10134.28064,-584.8441467,-9592.709045,-21.69342041,0.735931396,20.7774353
15:21.5,10092.96146,-471.2037964,-9668.208313,-21.60919189,0.603485107,20.88119507
15:21.5,10053.05692,-358.1796875,-9738.932678,-21.54678345,0.4296875,20.86730957
15:21.5,10010.58276,-245.2912292,-9800.052979,-21.38259888,0.280456543,21.02752686
15:21.5,9968.903137,-139.8170471,-9850.615784,-21.29730225,0.117950439,21.05102539
15:21.5,9924.382599,-23.64196777,-9900.915039,-21.26907349,-0.044708252,21.09817505
15:21.5,9874.734467,96.33908081,-9942.176086,-21.13540649,-0.183563232,21.19812012
15:21.5,9830.927063,204.9099731,-9979.270721,-21.07192993,-0.304107666,21.30584717
15:21.5,9788.104095,310.8182373,-10008.33484,-21.05743408,-0.466918945,21.35604858
15:21.5,9744.792786,422.4858398,-10038.9415,-20.98617554,-0.650634766,21.41891479
15:21.5,9705.322327,524.0416565,-10067.68781,-20.84014893,-0.764007568,21.5171814
15:21.5,9668.995087,621.0357361,-10096.62015,-20.80276489,-0.947723389,21.60858154
15:21.5,9633.764679,715.9950562,-10125.33157,-20.75210571,-1.18927002,21.72363281
15:21.5,9597.33667,806.2996216,-10153.7717,-20.69534302,-1.386413574,21.90246582
15:21.5,9560.893158,891.1975403,-10184.3241,-20.65567017,-1.607055664,22.02514648
15:21.5,9525.713135,968.3129883,-10215.78729,-20.51376343,-1.7628479,22.11303711
15:21.5,9489.444031,1041.378296,-10250.68051,-20.44876099,-1.883544922,22.21450806
15:21.5,9451.961823,1110.730652,-10287.66663,-20.40817261,-2.072906494,22.30895996
15:21.5,9412.192932,1176.168518,-10329.75708,-20.34515381,-2.346954346,22.44415283
15:21.5,9368.536682,1236.129974,-10372.77383,-20.28793335,-2.509155273,22.51724243
15:21.5,9324.969574,1293.002472,-10418.56174,-20.15258789,-2.782440186,22.70782471
15:21.5,9272.503784,1349.247101,-10463.91556,-20.02487183,-2.996368408,22.86651611
15:21.5,9212.852386,1407.003265,-10508.97482,-19.90249634,-3.262786865,22.918396
15:21.5,9151.317383,1463.530823,-10556.06497,-19.67697144,-3.552246094,23.00125122
