time_index,frequency,direction,87,58
1995-01-01 01:00:00+00:00,0.0682,7.5,0.030073922,0.059942134
1995-01-01 01:00:00+00:00,0.0682,22.5,0.016509546,0.03252355
1995-01-01 01:00:00+00:00,0.0682,37.5,0.017111024,0.013174096
1995-01-01 01:00:00+00:00,0.0682,52.5,0.017733244,0.0262933
1995-01-01 01:00:00+00:00,0.0682,67.5,0.0022607292,0.0038424446
1995-01-01 01:00:00+00:00,0.0682,82.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,97.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,112.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,127.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,142.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,157.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,172.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,187.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,202.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,217.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,232.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,247.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,262.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.0682,277.5,2.0740636e-05,0.00013723016
1995-01-01 01:00:00+00:00,0.0682,292.5,0.0,5.4892065e-05
1995-01-01 01:00:00+00:00,0.0682,307.5,0.0014311039,0.006806616
1995-01-01 01:00:00+00:00,0.0682,322.5,0.087629184,0.113132544
1995-01-01 01:00:00+00:00,0.0682,337.5,0.20535304,0.27174318
1995-01-01 01:00:00+00:00,0.0682,352.5,0.1943605,0.24756321
1995-01-01 01:00:00+00:00,0.075,7.5,0.02511691,0.05140642
1995-01-01 01:00:00+00:00,0.075,22.5,0.020678414,0.07185371
1995-01-01 01:00:00+00:00,0.075,37.5,0.022296183,0.020831538
1995-01-01 01:00:00+00:00,0.075,52.5,0.015638439,0.010182478
1995-01-01 01:00:00+00:00,0.075,67.5,0.00095406926,0.0013448556
1995-01-01 01:00:00+00:00,0.075,82.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,97.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,112.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,127.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,142.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,157.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,172.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,187.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,202.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,217.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,232.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,247.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,262.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,277.5,0.0,0.0
1995-01-01 01:00:00+00:00,0.075,292.5,0.0,8.23381e-05
1995-01-01 01:00:00+00:00,0.075,307.5,0.0043970146,0.011252874
1995-01-01 01:00:00+00:00,0.075,322.5,0.10017727,0.13750462
1995-01-01 01:00:00+00:00,0.075,337.5,0.18309833,0.23309915
