,Tanana
2010-02-20 00:00:00+00:00,186.89116956564717
2010-02-21 00:00:00+00:00,186.89116956564717
2010-02-22 00:00:00+00:00,186.89116956564717
2010-02-23 00:00:00+00:00,186.89116956564717
2010-02-24 00:00:00+00:00,186.89116956564717
2010-02-25 00:00:00+00:00,186.89116956564717
2010-02-26 00:00:00+00:00,186.89116956564717
2010-02-27 00:00:00+00:00,186.89116956564717
2010-02-28 00:00:00+00:00,186.89116956564717
2010-03-01 00:00:00+00:00,186.89116956564717
2010-03-02 00:00:00+00:00,186.89116956564717
2010-03-03 00:00:00+00:00,186.89116956564717
2010-03-04 00:00:00+00:00,186.89116956564717
2010-03-05 00:00:00+00:00,186.89116956564717
2010-03-06 00:00:00+00:00,186.89116956564717
2010-03-07 00:00:00+00:00,186.89116956564717
2010-03-08 00:00:00+00:00,186.89116956564717
2010-03-09 00:00:00+00:00,186.89116956564717
2010-03-10 00:00:00+00:00,186.89116956564717
2010-03-11 00:00:00+00:00,186.89116956564717
2010-03-12 00:00:00+00:00,186.89116956564717
2010-03-13 00:00:00+00:00,186.89116956564717
2010-03-14 00:00:00+00:00,186.89116956564717
2010-03-15 00:00:00+00:00,186.89116956564717
2010-03-16 00:00:00+00:00,186.89116956564717
2010-03-17 00:00:00+00:00,186.89116956564717
2010-03-18 00:00:00+00:00,186.89116956564717
2010-03-19 00:00:00+00:00,186.89116956564717
2010-03-20 00:00:00+00:00,186.89116956564717
2010-03-21 00:00:00+00:00,186.89116956564717
2010-03-22 00:00:00+00:00,186.89116956564717
2010-03-23 00:00:00+00:00,186.89116956564717
2010-03-24 00:00:00+00:00,186.89116956564717
2010-03-25 00:00:00+00:00,186.89116956564717
2010-03-26 00:00:00+00:00,186.89116956564717
2010-03-27 00:00:00+00:00,186.89116956564717
2010-03-28 00:00:00+00:00,186.89116956564717
2010-03-29 00:00:00+00:00,186.89116956564717
2010-03-30 00:00:00+00:00,189.72285395300545
2010-03-31 00:00:00+00:00,189.72285395300545
2010-04-01 00:00:00+00:00,192.5545383403637
2010-04-02 00:00:00+00:00,192.5545383403637
2010-04-03 00:00:00+00:00,195.38622272772201
2010-04-04 00:00:00+00:00,195.38622272772201
2010-04-05 00:00:00+00:00,198.2179071150803
2010-04-06 00:00:00+00:00,198.2179071150803
2010-04-07 00:00:00+00:00,198.2179071150803
2010-04-08 00:00:00+00:00,201.04959150243855
2010-04-09 00:00:00+00:00,203.88127588979685
2010-04-10 00:00:00+00:00,206.7129602771552
2010-04-11 00:00:00+00:00,209.54464466451344
2010-04-12 00:00:00+00:00,215.20801343923003
2010-04-13 00:00:00+00:00,220.87138221394662
2010-04-14 00:00:00+00:00,226.53475098866318
2010-04-15 00:00:00+00:00,232.19811976337974
2010-04-16 00:00:00+00:00,237.86148853809638
2010-04-17 00:00:00+00:00,246.3565417001712
2010-04-18 00:00:00+00:00,254.8515948622461
2010-04-19 00:00:00+00:00,263.346648024321
2010-04-20 00:00:00+00:00,271.8417011863958
2010-04-21 00:00:00+00:00,283.168438735829
2010-04-22 00:00:00+00:00,302.990229447337
2010-04-23 00:00:00+00:00,311.4852826094119
2010-04-24 00:00:00+00:00,328.47538893356165
2010-04-25 00:00:00+00:00,351.1288640324279
2010-04-26 00:00:00+00:00,368.1189703565777
2010-04-27 00:00:00+00:00,396.4358142301606
2010-04-28 00:00:00+00:00,438.91108004053496
2010-04-29 00:00:00+00:00,481.38634585090927
2010-04-30 00:00:00+00:00,538.0200335980751
2010-05-01 00:00:00+00:00,594.6537213452409
2010-05-02 00:00:00+00:00,651.2874090924067
2010-05-03 00:00:00+00:00,685.2676217407062
2010-05-04 00:00:00+00:00,696.5943592901393
2010-05-05 00:00:00+00:00,707.9210968395724
2010-05-06 00:00:00+00:00,702.2577280648558
2010-05-07 00:00:00+00:00,668.2775154165564
2010-05-08 00:00:00+00:00,648.4557247050484
2010-05-09 00:00:00+00:00,639.9606715429735
2010-05-10 00:00:00+00:00,620.1388808314655
2010-05-11 00:00:00+00:00,605.980458894674
2010-05-12 00:00:00+00:00,588.9903525705244
2010-05-13 00:00:00+00:00,583.3269837958077
2010-05-14 00:00:00+00:00,580.4952994084495
2010-05-15 00:00:00+00:00,549.3467711475082
2010-05-16 00:00:00+00:00,529.5249804360002
2010-05-17 00:00:00+00:00,515.3665584992086
2010-05-18 00:00:00+00:00,506.87150533713384
2010-05-19 00:00:00+00:00,515.3665584992086
2010-05-20 00:00:00+00:00,543.6834023727916
2010-05-21 00:00:00+00:00,591.8220369578826
2010-05-22 00:00:00+00:00,656.9507778671233
2010-05-23 00:00:00+00:00,685.2676217407062
2010-05-24 00:00:00+00:00,693.7626749027811
2010-05-25 00:00:00+00:00,699.4260436774977
2010-05-26 00:00:00+00:00,758.8914158120218
2010-05-27 00:00:00+00:00,855.1686849822037
2010-05-28 00:00:00+00:00,877.8221600810699
2010-05-29 00:00:00+00:00,894.8122664052196
2010-05-30 00:00:00+00:00,900.475635179936
2010-05-31 00:00:00+00:00,908.9706883420109
