,Hm0_contour,Te_contour
154,11.61832865777232,14.008328201867723
155,11.56952272113302,13.932314839565535
156,11.520205705988898,13.856484450393548
157,11.470392119154127,13.780840346433603
158,11.420096415689008,13.705385797967805
159,11.369332994013517,13.63012403384171
160,11.318116191125078,13.55505824182121
161,11.266460277910394,13.480191568935158
162,11.214379454563153,13.405527121805308
163,11.161887846096668,13.331067966968824
164,11.108999497957814,13.256817131188551
165,11.055728371754736,13.182777601744274
166,11.002088341081993,13.10895232672283
167,10.948093187447528,13.035344215290872
168,10.893756596318308,12.96195613795574
169,10.839092153263337,12.88879092681483
170,10.784113340209633,12.815851375795559
171,10.728833531804337,12.743140240881575
172,10.673265991889867,12.67066024032777
173,10.617423870086002,12.598414054864369
174,10.561320198478485,12.526404327890805
175,10.504967888430915,12.45463366565561
176,10.448379727495226,12.383104637426573
