uWind_80m,WD_ModActive,WD_Nacelle,WD_NacelleMod,LSSDW_Tq,LSSDW_My,LSSDW_Mz,TTTq,TT_ForeAft,TT_SideSide,TB_ForeAft,TB_SideSide,BL3_FlapMom,BL3_EdgeMom,BL1_FlapMom,BL1_EdgeMom,ActivePower,yawoffset
1.901937548,0,11.03350432,11.03117365,203.5687111,65.67207681,66.40861467,149.2523028,171.5794368,235.8981751,1831.691228,598.7243011,183.9995634,491.2762816,194.871352,479.6777133,357.3788985,0.079793409
2.005593862,0,13.11924911,13.12016725,222.6838048,69.93888541,60.76877114,138.6797868,243.229897,272.1388099,2993.602924,633.7934518,274.4215191,486.390428,283.5933366,475.2293666,407.5716213,0.072751373
2.767528932,0,19.35984072,19.3599306,91.77456676,71.23896171,64.38305611,144.4592144,190.4282647,114.5541469,3166.079464,477.5724714,365.4810491,444.6402817,382.4216368,430.2310447,166.3913669,0.056220885
2.478939586,0,10.77339209,10.7699537,143.9698834,91.8713222,90.05109555,204.3199274,246.2990727,167.2984497,2416.868256,902.3360063,296.6234689,480.0837188,320.538685,468.3876154,250.0288865,0.078546994
0.496769859,0,14.01196277,13.64754017,25.07680528,18.20892475,19.56865044,34.95164246,71.48024821,71.55824325,676.2480362,121.0302556,78.62455714,452.5434584,93.24356616,441.7380597,36.22420353,4.094145525
0.448125674,0,8.934858662,8.934508011,23.5631539,19.27296192,17.85975571,37.81104721,60.16657882,39.69494181,460.4702387,114.0542826,69.56734241,444.4290254,86.13514578,433.7628431,23.79429259,0.051316152
0.789953527,0,13.9753915,13.97360994,37.87757814,25.08835711,22.10620824,47.75737223,66.38773152,63.67700821,667.6425104,161.9979361,94.1100979,441.5868812,109.2481363,431.3778606,42.42953047,0.050505145
0.891961418,0,21.35665532,21.35812072,47.46932915,35.83757323,20.48976788,48.80286523,69.56190008,74.90450315,1604.948476,145.5304122,297.5137228,398.6197084,280.9552371,382.3854863,39.14516756,0.036520073
1.627455708,0,30.31494797,30.31670457,128.2759149,34.56150036,37.00119956,106.7642806,201.9030241,179.2523458,3534.118361,266.7680174,426.7329283,428.8721813,444.0755212,413.3624782,215.1514067,0.045698448
0.474931869,0,10.99359392,10.99105014,35.46409397,21.91058834,20.92066631,40.73088327,84.2935178,60.86527851,1038.883776,127.1964596,130.421134,431.714812,129.7005852,422.1349697,35.37338346,0.041964666
1.582393176,0,18.03457709,18.04906761,188.6159748,50.44318129,49.8736433,107.5273811,288.9432894,193.4606277,3726.897756,374.6417313,337.0297097,483.6194382,347.5172395,469.8975893,370.8034175,0.189083822
1.049422806,0,12.54976107,12.54794328,106.2589881,49.91664841,44.25212292,90.16930099,176.4038938,111.7763117,1727.089918,334.2650545,163.7253873,489.8218652,170.8438875,477.5326379,193.1272407,0.083562963
1.047106312,0,13.14740015,13.14530521,64.25940958,44.8108739,38.66208079,77.86550069,174.4984495,59.01608829,2005.465512,282.3179546,195.2342632,479.0739617,202.8765553,466.7894201,136.8146922,0.069710938
2.657241066,0,12.42305781,11.90444026,96.31840329,129.9821614,101.6278361,230.9049483,317.7398348,134.7999461,1714.290041,1087.251737,292.0385046,425.4149023,302.3683492,419.5152125,182.872763,4.04411329
2.518633006,0,10.63071934,10.6291853,94.68199475,114.0491519,114.7976534,261.3311071,274.0894333,126.6473262,2116.336989,1085.117448,299.223065,446.6108003,313.2089388,437.9642176,177.6705565,0.09538997
3.016000026,0,11.97687444,11.97159815,107.357707,154.6214304,150.0576073,349.2199224,355.3802899,158.4006106,2362.22873,1701.833092,375.0852079,437.1408208,374.0852788,427.3016016,203.2443565,0.113813438
3.031002335,0,14.92724055,14.91764739,98.40329139,146.890975,140.8819174,324.7129362,355.8292759,145.6359101,2222.063999,1715.788318,336.8855989,436.7617077,352.396806,426.6648881,185.2742228,0.105270234
3.318027606,0,10.34524184,10.35294351,107.9357662,144.6367598,150.6077262,350.3314363,351.6675833,156.1242411,2673.443672,1981.750299,348.8038878,416.0571894,370.890442,403.1214822,201.7773246,0.12243314
3.693588663,0,11.45743309,11.46323214,440.745486,119.2484795,106.0463128,257.6684676,387.7275342,512.3538911,3845.313835,2758.126323,470.5415134,288.78362,491.4367392,273.7066049,750.1610464,0.117347826
2.416947326,0,17.4825028,17.47485169,222.0784937,98.53889234,76.06010015,169.1933891,273.774543,255.0079268,2578.532993,647.4342758,268.4748205,490.9399337,282.8173899,481.8788162,399.5820949,0.081002617
2.870713179,0,22.88598425,22.88775435,251.9068495,100.0557175,77.20425508,174.2572438,335.2562746,274.0006893,3716.981357,756.9174977,383.6674144,493.8374641,403.212256,475.7538663,463.7325423,0.104961401
2.268204246,0,19.40828033,19.40201591,190.1458675,90.1474405,75.05832078,167.6306029,269.7252376,223.987558,2107.102953,666.0201261,245.2424902,498.5516359,262.0509049,485.7983403,337.2283563,0.078109804
2.16844145,0,10.08453529,10.0811032,106.4266694,86.57341877,80.27402114,180.0301692,215.4446826,133.9546599,2204.494829,635.6521702,282.2515856,495.1511262,300.7697416,481.2559162,188.9889717,0.077169523
2.960909314,0,17.07905866,17.08296432,237.1548465,112.5907013,83.6425805,191.7373072,291.19964,287.1716498,3376.027245,711.8481342,382.3943037,477.1457352,395.6297559,466.8551972,443.0882014,0.193072738
4.437962692,0,17.06536666,16.53304572,251.3396771,105.3594228,81.42828571,183.552657,309.5254531,284.5573743,2853.14094,845.8985879,324.644165,480.7074984,338.9419006,467.6986732,457.0452805,4.037675205
2.269128616,0,24.88569121,24.88360875,136.3255492,79.61984824,90.92766049,203.5586597,240.5311064,153.4508147,3079.685203,489.0160887,305.5580103,478.4010465,316.4993404,465.3660341,259.668964,0.070997733
4.185787787,0,19.36837637,19.36937117,268.596228,101.1894896,87.01279821,196.8773441,285.282646,330.2558995,2755.270436,788.8819082,306.1901068,479.0600406,321.5596184,467.3727104,489.879316,0.08444613
2.436130015,0,18.18521745,18.18730529,262.8909364,81.62821959,64.61924452,141.0594087,265.7883882,312.4206266,2880.530311,618.4864497,271.7371805,493.0201597,283.3950271,480.2419426,480.276769,0.074064609
2.801598825,0,21.79869143,21.79681023,267.0998773,87.99874738,85.35865745,183.3794388,294.389577,323.2144759,3545.095924,672.6693195,340.4185344,483.9974767,354.5790728,470.4900559,471.3650144,0.070218639
2.059652395,0,20.91050703,20.91932524,185.8011412,60.49984011,62.63292809,137.9542878,227.8333923,215.1061703,3460.159476,370.5619213,323.591582,479.9349995,334.8627899,464.1938275,359.6186858,0.338638188
2.345099935,0,22.08015283,22.07958733,230.6584851,91.06424841,76.84606109,173.8070659,340.2950023,244.6051412,3807.323104,799.6911368,373.4828092,484.8276125,383.6614418,471.1772534,428.6741318,0.101938415
1.984122399,0,44.35161428,44.35696105,126.017427,57.25069682,49.22772432,106.6170736,273.4436209,115.2647758,3661.346588,365.0178893,388.7432328,407.6820921,521.4969184,403.9962755,199.3529199,0.496372039
