,WaveHeight,LinearResponse
-89.0,0.0007955926230196886,-0.01342467145964538
-88.0,0.0023807524437681254,-0.015488755124940832
-87.0,0.0026310384994883518,-0.014838494756908608
-86.0,0.0013000896288869277,-0.011535538280460264
-85.0,-0.0012123707569739633,-0.00617541551645316
-84.0,-0.003932452208759936,0.00022930358929230797
-83.0,-0.005674580731457199,0.006446262194800048
-82.0,-0.0055480438046247105,0.011274600957138727
-81.0,-0.0033621709353109683,0.013811205979715132
-80.0,0.00026236894373392376,0.01365409109498915
-79.0,0.004127786459614721,0.01099191653326061
-78.0,0.006961421661200204,0.006574510188267581
-77.0,0.007981737512226557,0.0015607272595201272
-76.0,0.007239020564324911,-0.002748380597836526
-75.0,0.005569491547252972,-0.005225286765709773
-74.0,0.0041988162950250705,-0.00519052086612755
-73.0,0.0041519778162673006,-0.0025964913366264917
-72.0,0.005721565244475849,0.0019123541990226593
-71.0,0.008252767634273697,0.007100800725253029
-70.0,0.010341983887752093,0.011395864424861901
-69.0,0.010354451812277848,0.013230250071949334
-68.0,0.007035499516340956,0.011406032623972032
-67.0,-4.233429893819738e-05,0.005407888993502196
-66.0,-0.01030261925701563,-0.004391329893211758
-65.0,-0.022249170518473603,-0.016689617547135386
-64.0,-0.033778149477538516,-0.029426816563993
-63.0,-0.04257799279911006,-0.04012162032138856
-62.0,-0.04652302355827113,-0.046298570784752996
-61.0,-0.04406963701656402,-0.04597488166162877
-60.0,-0.034584844106726374,-0.03810304550645132
-59.0,-0.01848078732160282,-0.02282838472220817
-58.0,0.0028393473321096027,-0.0015428457064571835
-57.0,0.027115298588434745,0.023250338951725808
-56.0,0.051436561558615986,0.04829234855261059
-55.0,0.07255926356909567,0.07008693862718288
-54.0,0.08729082099748119,0.08543478832792419
-53.0,0.09295862053190393,0.09189901871239109
-52.0,0.08798588499646444,0.088156013420761
-51.0,0.07233196035411518,0.07414473016231245
-50.0,0.04748505181336869,0.05098753090955976
-49.0,0.016061779415305115,0.02076774445222533
-48.0,-0.018822241420862328,-0.013800992039511094
-47.0,-0.054184635244180934,-0.049781224892104216
-46.0,-0.08744448608618488,-0.0843232077694274
-45.0,-0.1163509631312636,-0.1148202385409157
-44.0,-0.13890130210378993,-0.13898213082238495
-43.0,-0.1533423622825251,-0.15477456974685108
-42.0,-0.1581013936537936,-0.16022809756140338
-41.0,-0.15147269375996958,-0.15330363738396943
-40.0,-0.13122421031487877,-0.13195218285952942
-39.0,-0.0946502173760068,-0.09441058861884309
-38.0,-0.03946018081638978,-0.03969971779745837
-37.0,0.03468209804293873,0.03173314152540762
-36.0,0.12453597726868064,0.11719943723865152
-35.0,0.22244013386513975,0.21098247344987583
-34.0,0.31690687627207637,0.30403722018308255
-33.0,0.3942620477685388,0.3842627293662184
-32.0,0.4403040108891532,0.4372586787969522
-31.0,0.4416318353223335,0.44785863124263914
-30.0,0.3872717828417154,0.4025561654029434
-29.0,0.27068910856726797,0.2922818406302851
-28.0,0.09165448887867225,0.11508305666274295
-27.0,-0.14164835869270012,-0.12128398694925104
-26.0,-0.41077471764851003,-0.3975422409396359
-25.0,-0.6868871228838418,-0.6830130936915692
-24.0,-0.9320011668369413,-0.9375345783481435
-23.0,-1.1013564641073441,-1.1149250143205627
-22.0,-1.1489215865230082,-1.168811884245387
-21.0,-1.0359980145576324,-1.0603662414425081
-20.0,-0.7399860653959676,-0.7663967774738971
-19.0,-0.2623195665775651,-0.2874342773503864
-18.0,0.36500198126758415,0.3454395113956685
-17.0,1.076996749172902,1.067425092937628
-16.0,1.7782854036729554,1.78133909748281
-15.0,2.349536244302417,2.3645846852459527
-14.0,2.6592112735230855,2.68342777471765
-13.0,2.5842835665736312,2.6139839045549316
-12.0,2.0369325329898706,2.068157737321437
-11.0,0.9926057549061809,1.0223066016924371
-10.0,-0.481745341427621,-0.4554776103409175
-9.0,-2.207830770706943,-2.1874531074931904
-8.0,-3.8983940342356824,-3.8864656358124723
-7.0,-5.1781276089155295,-5.177298732742587
-6.0,-5.632636882894074,-5.648396652216675
-5.0,-4.9146721351724665,-4.952373325115493
-4.0,-2.876378897068012,-2.933116163412069
-3.0,0.3377785351508529,0.26351619294597356
-2.0,4.147451708698456,4.047917515444497
-1.0,7.359150298898101,7.268528709110429
0.0,8.544391057004784,8.55730934277015
1.0,7.1285956408980145,7.268528709110429
2.0,3.8907295511199416,4.047917515444497
3.0,0.16839506065433213,0.26351619294597356
4.0,-2.973448715827431,-2.933116163412069
5.0,-4.946455214266505,-4.952373325115493
6.0,-5.60261549699226,-5.648396652216675
7.0,-5.111889283280676,-5.177298732742587
8.0,-3.8225344822459837,-3.8864656358124723
9.0,-2.1381370400845774,-2.1874531074931904
10.0,-0.42821582163500826,-0.4554776103409175
11.0,1.0261885729352709,1.0223066016924371
12.0,2.0531228457643187,2.068157737321437
13.0,2.5874792423699073,2.6139839045549316
14.0,2.653836451490874,2.68342777471765
15.0,2.339235797713705,2.3645846852459527
16.0,1.7651119063417426,1.78133909748281
17.0,1.063177162986515,1.067425092937628
18.0,0.3539906199475103,0.3454395113956685
19.0,-0.2686413995167064,-0.2874342773503864
20.0,-0.7429269676419411,-0.7663967774738971
21.0,-1.0394176811687688,-1.0603662414425081
22.0,-1.157337398786176,-1.168811884245387
23.0,-1.1169939655647432,-1.1149250143205627
24.0,-0.9528262354256847,-0.9375345783481435
25.0,-0.7072793549384963,-0.6830130936915692
26.0,-0.4244037332994811,-0.3975422409396359
27.0,-0.14427721640138455,-0.12128398694925104
28.0,0.10096396380348985,0.11508305666274295
29.0,0.2896813803001578,0.2922818406302851
30.0,0.41151282512247184,0.4025561654029434
31.0,0.4662375747562788,0.44785863124263914
32.0,0.46162224803808327,0.4372586787969522
33.0,0.41074656737592713,0.3842627293662184
34.0,0.3289164034232288,0.30403722018308255
35.0,0.23068621726943914,0.21098247344987583
36.0,0.1281626598112964,0.11719943723865152
37.0,0.03084954592627758,0.03173314152540762
38.0,-0.05393633671613367,-0.03969971779745837
39.0,-0.12064650375433862,-0.09441058861884309
40.0,-0.16555175237932454,-0.13195218285952942
41.0,-0.1873058491689549,-0.15330363738396943
42.0,-0.18725094941882248,-0.16022809756140338
43.0,-0.1690403380460521,-0.15477456974685108
44.0,-0.13769993693801952,-0.13898213082238495
45.0,-0.09857691239270579,-0.1148202385409157
46.0,-0.05670237230809734,-0.0843232077694274
47.0,-0.016558461777446867,-0.049781224892104216
48.0,0.018200290413610678,-0.013800992039511094
49.0,0.04510238032817125,0.02076774445222533
50.0,0.06302330328815185,0.05098753090955976
51.0,0.0721116406706568,0.07414473016231245
52.0,0.07342770274758069,0.088156013420761
53.0,0.0684150641608478,0.09189901871239109
54.0,0.058534838946811676,0.08543478832792419
55.0,0.04520346951257946,0.07008693862718288
56.0,0.029897825429690838,0.04829234855261059
