RAO,Coeff,Res_Spec,phase,Norm_Spec,
1.0002202787470071-0.008044767609988837j,0.028791147,0.002791408,0.008042822,0.204407811,
1.0001297850299709-0.008910088457258184j,0.036466379,0.007185057,0.008908697,0.526143713,
1.0001016369716833-0.009755998784945593j,0.043613872,0.014701979,0.009754698,1.076589069,
1.0001038080849018-0.010843240810735903j,0.049878308,0.025148521,0.010841691,1.841563153,
1.0001347660177733-0.011903705572975648j,0.055069405,0.037365413,0.01190154,2.73617553,
1.0002060715922878-0.013020979082487397j,0.059131362,0.04966218,0.013017561,3.636636953,
1.0003395005895683-0.014371630073567081j,0.062103542,0.060407078,0.014365764,4.423458899,
1.0005742619189713-0.015819711479625718j,0.064084309,0.068455198,0.015809315,5.012802553,
1.0011584233764257+0.00032763501168757317j,0.06520543,0.073305442,-0.000327256,5.367973763,
1.0020433626085756-0.001314494349578741j,0.065616219,0.075037412,0.001311813,5.494801584,
1.0038918433631956-0.0030191366099624538j,0.065482433,0.074152922,0.003007423,5.430032599,
1.0081290008799175-0.004905525981191511j,0.065013674,0.071446859,0.004865932,5.231874389,
1.0162116576143632-0.0068754137485966555j,0.064399096,0.067692054,0.006765627,4.956919431,
1.0205671125102451-0.009016238038812682j,0.063241505,0.062416378,0.008834307,4.570594902,
1.0153352119909345-0.01124129438911926j,0.061277539,0.055582742,0.011071058,4.070184867,
1.0088060413573068-0.01378500010446309j,0.059106023,0.048734594,0.013663818,3.568712155,
1.0053676065601616-0.016567939941289897j,0.057036851,0.04254625,0.016477993,3.115555237,
1.0034356380445584-0.019932638043092126j,0.055008494,0.036946684,0.019861779,2.705513055,
1.002358612128382-0.018429645484775565j,0.053004682,0.031920575,0.018384208,2.337463692,
1.001783490647367-0.008221246604302311j,0.051027371,0.027456337,0.008206426,2.010558734,
1.0012248127792622-0.011132176626888906j,0.04908303,0.023529646,0.0111181,1.723016995,
1.0007552527660988-0.015181979007563455j,0.047181974,0.020107384,0.015169358,1.472413327,
1.0003465385405104-0.019056842541036706j,0.045332341,0.017146713,0.019047937,1.255610811,
0.9999210709125885-0.023958264951118385j,0.043539015,0.014599585,0.023955573,1.069091013,
0.9995556887374101-0.027253439490578037j,0.041807676,0.012419216,0.0272588,0.909428056,
0.9994626357796298-0.02250440831372479j,0.040142544,0.010560224,0.022512704,0.773298732,
0.9993334954603921-0.018631916126684495j,0.03854239,0.008978206,0.018642183,0.65745152,
0.9989565408464653-0.024179315189986804j,0.037005853,0.007633803,0.024199846,0.559004258,
0.9985694425966594-0.028891230002253177j,0.035534451,0.006493596,0.028924551,0.475509758,
0.9983875608121655-0.02708085962345014j,0.034128344,0.00552777,0.027117947,0.404784741,
0.9982293644972353-0.024216609773028457j,0.032785007,0.004709684,0.024254807,0.344878354,
0.9980104951131591-0.022583086520839218j,0.031501791,0.00401657,0.022624244,0.294123353,
0.997761745414819-0.021314433982633125j,0.030276909,0.003429265,0.021358999,0.25111648,
0.9974601786165167-0.021496756775134414j,0.02910816,0.002931386,0.021548158,0.214658049,
0.9969602569638867-0.028505504087023462j,0.027993142,0.002509012,0.02858463,0.183728659,
0.996345659831981-0.0368094138514025j,0.026929799,0.002150437,0.036927627,0.157471111,
0.9958902386071673-0.0395843362518553j,0.025916122,0.001845773,0.039726777,0.13516133,
0.9954882835657615-0.04071644538813056j,0.024949764,0.001586625,0.040878194,0.116184572,
0.9950660341515309-0.041787821871324536j,0.024028103,0.00136589,0.041970363,0.100020701,
0.9945610780565912-0.04386713710877215j,0.023148587,0.0011776,0.044078463,0.086232696,
0.9939494922287314-0.047254951921532284j,0.022309075,0.001016773,0.047506837,0.074455738,
0.9933312054836924-0.05014301813271308j,0.021508022,0.000879256,0.050436845,0.064385713,
0.9928246290098958-0.0507566114765159j,0.020743928,0.000761539,0.051078972,0.055765592,
0.9924004881637507-0.049915378483991545j,0.020015021,0.000660632,0.050255265,0.048376425,
0.9919819679576926-0.048728957714115936j,0.019319087,0.000573983,0.049083371,0.042031336,
0.9915114451510907-0.0479134461711528j,0.018654002,0.000499444,0.048286082,0.036573032,
0.9909443629987562-0.04803983955644013j,0.018017859,0.000435213,0.048440922,0.031869557,
0.9902925206455904-0.048938531523481196j,0.017409257,0.000379788,0.049378088,0.027810923,
0.9895738115512104-0.050351981113164995j,0.016826914,0.000331899,0.050838648,0.024304132,
